ID,域,グループ,言語,全著者名,標題,掲載誌名,巻,号,開始ページ,終了ページ,出版年月日,DOI,PubmedID,業績種別,業績詳細種別,査読,責任著者,,IF
80,臨床医学域,橋渡し・臨床研究学,eng,"Kawanishi, Hitomi; Sekiguchi, Atsushi; Funaba, Misako; Fujii, Yasushi; Yoshiuchi, Kazuhiro; Kikuchi, Hiroe; Kawai, Keisuke; Maruo, Kazushi; Sugawara, Norio; Hatano, Kenji; Shoji, Tomotaka; Yamazaki, Tadahiro; Toda, Kenta; Murakami, Masafumi; Shoji, Masayasu; Ohara, Chisato; Tomita, Yoshitoshi; Fukudo, Shin; Ando, Tetsuya",Cognitive behavioral therapy with interoceptive exposure and complementary video materials for irritable bowel syndrome (IBS): protocol for a multicenter randomized controlled trial in Japan,BIOPSYCHOSOCIAL MEDICINE,e-pub,,,,2019-06,10.1186/s13030-019-0155-2,31178921,論文,学術雑誌,1,0,,0.904
80,臨床医学域,橋渡し・臨床研究学,eng,"Ohara, Chisato; Sekiguchi, Atsushi; Takakura, Shu; Endo, Yuka; Tamura, Naho; Kikuchi, Hiroe; Maruo, Kazushi; Sugawara, Norio; Hatano, Kenji; Kawanishi, Hitomi; Funaba, Misako; Sugawara, Ayako; Nohara, Nobuhiro; Kawai, Keisuke; Fukudo, Shin; Sudo, Nobuyuki; Cooper, Zafra; Yoshiuchi, Kazuhiro; Ando, Tetsuya",Effectiveness of enhanced cognitive behavior therapy for bulimia nervosa in Japan: a randomized controlled trial protocol,BIOPSYCHOSOCIAL MEDICINE,e-pub,,,,2020-02,10.1186/s13030-020-0174-z,32123540,論文,学術雑誌,1,0,,0.904
106,保健医療学域,臨床試験・臨床疫学,eng,"Kawanishi, Hitomi; Sekiguchi, Atsushi; Funaba, Misako; Fujii, Yasushi; Yoshiuchi, Kazuhiro; Kikuchi, Hiroe; Kawai, Keisuke; Maruo, Kazushi; Sugawara, Norio; Hatano, Kenji; Shoji, Tomotaka; Yamazaki, Tadahiro; Toda, Kenta; Murakami, Masafumi; Shoji, Masayasu; Ohara, Chisato; Tomita, Yoshitoshi; Fukudo, Shin; Ando, Tetsuya",Cognitive behavioral therapy with interoceptive exposure and complementary video materials for irritable bowel syndrome (IBS): protocol for a multicenter randomized controlled trial in Japan,BIOPSYCHOSOCIAL MEDICINE,13,,14,,2019-06,10.1186/s13030-019-0155-2,31178921,論文,学術雑誌,1,0,,0.904
106,保健医療学域,臨床試験・臨床疫学,eng,"Ohara, Chisato; Sekiguchi, Atsushi; Takakura, Shu; Endo, Yuka; Tamura, Naho; Kikuchi, Hiroe; Maruo, Kazushi; Sugawara, Norio; Hatano, Kenji; Kawanishi, Hitomi; Funaba, Misako; Sugawara, Ayako; Nohara, Nobuhiro; Kawai, Keisuke; Fukudo, Shin; Sudo, Nobuyuki; Cooper, Zafra; Yoshiuchi, Kazuhiro; Ando, Tetsuya",Effectiveness of enhanced cognitive behavior therapy for bulimia nervosa in Japan: a randomized controlled trial protocol,BIOPSYCHOSOCIAL MEDICINE,14,1,,,2020-02,10.1186/s13030-020-0174-z,32123540,論文,学術雑誌,1,0,,0.904
34,生命医科学域,バイオインフォマティクス,eng,"Kaminuma, Eli; Baba, Yukino; Mochizuki, Masahiro; Matsumoto, Hirotaka; Ozaki, Haruka; Okayama, Toshitsugu; Kato, Takuya; Oki, Shinya; Fujisawa, Takatomo; Nakamura, Yasukazu; Arita, Masanori; Ogasawara, Osamu; Kashima, Hisashi; Takagi, Toshihisa",DDBJ Data Analysis Challenge: a machine learning competition to predict Arabidopsis chromatin feature annotations from DNA sequences,Genes & genetic systems,95,1,43,50,2020-03,10.1266/ggs.19-00034,32213716,論文,学術雑誌,1,0,,0.917
80,臨床医学域,橋渡し・臨床研究学,eng,"Isogawa, Naoki; Takeda, Kentaro; Maruo, Kazushi; Daimon, Takashi",A Comparison Between a Meta-analytic Approach and Power Prior Approach to Using Historical Control Information in Clinical Trials With Binary Endpoints,Therapeutic innovation & regulatory science,Epub,,,,2019-07,10.1177/2168479019862531,31366216,論文,学術雑誌,1,0,,0.92
106,保健医療学域,臨床試験・臨床疫学,eng,"Isogawa, Naoki; Takeda, Kentaro; Maruo, Kazushi; Daimon, Takashi",A Comparison Between a Meta-analytic Approach and Power Prior Approach to Using Historical Control Information in Clinical Trials With Binary Endpoints,Therapeutic innovation & regulatory science,Epub,,,,2019-07,10.1177/2168479019862531,31366216,論文,学術雑誌,1,0,,0.92
56,臨床医学域,脳神経外科学,eng,"Iwamoto, Hirofumi;Muroi, Ai;Sekine, Tomokazu;Tsurubuchi, Takao;Ishikawa, Eiichi;Matsumura, Akira",Unusual Form of Obstructive Hydrocephalus in Association with 6q Terminal Deletion Syndrome: A Case Report and Literature Review,Pediatric neurosurgery,54,6,419,423,2019-04,10.1159/000503108,31597145,論文,学術雑誌,1,1,,0.985
40,臨床医学域,膠原病リウマチアレルギー内科学,eng,"Nishiyama, Taihei;Kondo, Yuya;Okamoto, Shota;Terasaki, Mayu;Toko, Hirofumi;Yagishita, Mizuki;Takahashi, Hiroyuki;Yokosawa, Masahiro;Tsuboi, Hiroto;Matsumoto, Isao;Sumida, Takayuki",Aortic Arch Aneurysm in Behçet Disease Successfully Treated with Infliximab,Internal medicine,59,8,1087,1091,2020-01,10.2169/internalmedicine.3946-19,31915317,論文,学術雑誌,1,0,,1.005
42,臨床医学域,消化器内科学,jpn,"Hamano, Yukako;Moriwaki, Toshikazu;To, Keii;Watahiki, Takahisa;Yamada, Takeshi;Sakashita, Shingo;Hyodo, Ichinosuke",A Neuroendocrine Tumor of Unknown Primary Origin that Responded to Treatment Based on Tumor Grade Progression: A Case Report,Internal Medicine,58,8,1087,1091,2019,10.2169/internalmedicine.1809-18,30568142,論文,学術雑誌,1,0,,1.005
44,臨床医学域,循環器内科学,eng,"Hasebe, Hideyuki; Yokoya, Tomoyo; Murakoshi, Nobuyuki; Kurebayashi, Nobutake",Pilsicainide Administration Unmasks a Phenotype of Brugada Syndrome in a Patient with Overlap Syndrome due to the E1784K SCN5A Mutation,Internal Medicine,59,1,83,87,2020-01,10.2169/internalmedicine.3430-19,31484910,論文,学術雑誌,1,0,,1.005
46,臨床医学域,神経内科学,eng,"Hosoi, Takahiro; Ishii, Kazuhiro; Tozaka, Naoki; Kishida, Dai; Sekijima, Yoshiki; Tamaoka, Akira", Familial Mediterranean Fever is Important in the Differential Diagnosis of Recurrent Aseptic Meningitis in Japan,Internal Medicine,59,1,125,128,2020-01,10.2169/internalmedicine.3432-19,31511485,論文,学術雑誌,1,1,,1.005
48,臨床医学域,感染症学,eng,"Nemoto, Daisuke; Hitomi, Shigemi; Moriyama, Yoshihiro; Iwamoto, Kazuyo; Saito, Kazuhito",Cellulitis Complicated with Bacteremia Due to Sphingobacterium Species: A Report of Two Cases and a Literature Review,Internal Medicine,58,17,2573,2576,2019,10.2169/internalmedicine.2178-18,31118372,論文,学術雑誌,1,1,,1.005
48,臨床医学域,感染症学,eng,"Terada, Norohiko; Morikawa, Shohei; Hitomi, Shigemi",Syphilitic Uveitis,Internal medicine,58,24,3605,3605,2019-08,10.2169/internalmedicine.3250-19,31391400,論文,学術雑誌,1,0,,1.005
78,臨床医学域,臨床腫瘍学,eng,"Sekine, Ikuo",A Prompt Diagnosis of Superior Vena Cava Obstruction Established by Physical Examination,Internal medicine,58,22,3211,3212,2019-07,10.2169/internalmedicine.3151-19,31292403,論文,学術雑誌,0,1,,1.005
90,臨床医学域,土浦市地域臨床教育センター,eng,"Mochizuki,Naoto;Ano,Satoshi;Kikuchi,Norihiro;Sakai,Chio;Masuda,Michiko;Kondo,Yuzuru;Ishii,Yukio",Pneumonitis Due to Oren-gedoku-to (Coptis Detoxifying Decoction),Internal Medicine,58,20,3019,3023,2019,10.2169/internalmedicine.2586-18,31611510,論文,学術雑誌,1,0,,1.005
66,臨床医学域,小児科学,eng,"Hosaka S, Fukushima H, Nakao T, Suzuki R, Yamaki Y, Tanaka K, Saito T, Mizumoto M, Sa-kurai H, Fukushima T, Takada H",Patient Transfer to Receive Proton Beam Therapy During Intensive Multimodal Therapy is Safe and Feasible for Patients With Newly Diagnosed High-risk Neuroblastoma.,Journal of Pediatric Hematology Oncology,42,1,e18,e24,2020-01,10.1097/MPH.0000000000001570,31449498,論文,学術雑誌,1,0,,1.016
69,臨床医学域,放射線腫瘍学,eng,"Hosaka, Sho; Fukushima, Hiroko; Nakao, Tomohei; Suzuki, Ryoko; Yamaki, Yuni; Tanaka, Keiichi; Saito, Takashi; Mizumoto, Masashi; Sakurai, Hideyuki; Fukushima, Takashi; Takada, Hidetoshi",Patient Transfer to Receive Proton Beam Therapy During Intensive Multimodal Therapy is Safe and Feasible for Patients With Newly Diagnosed High-risk Neuroblastoma,Journal of pediatric hematology oncology,42,1,e18,e24,2019-07,10.1097/MPH.0000000000001570,31449498,論文,学術雑誌,1,0,,1.016
69,臨床医学域,放射線腫瘍学,eng,"Inaba, Masako;Nakao, Tomohei;Hosaka, Sho;Suzuki, Ryoko;Fukushima, Hiroko;Yamaki, Yuni;Saito, Takashi;Sakashita, Shingo;Noguchi, Masayuki;Minami, Manabu;Masumoto, Tomohiko;Mizumoto, Masashi;Sakurai, Hideyuki;Fukushima, Takashi;Takada, Hidetoshi",Urgent Proton Beam Therapy With Interinstitutional Transfer for Patients With Intracranial Rhabdomyosarcoma: Report of 3 Cases,Journal of pediatric hematology oncology,42,1,E12,E17,2019-10,10.1097/MPH.0000000000001620,31688631,論文,学術雑誌,1,0,,1.016
98,保健医療学域,国際発達ケア,eng,"Watanabe, Kumi;R, Goto;A, Takayashiki;E, Tanaka;T, Watanabe;Anme, Tokie;T, Maeno",The association between social relationships and decline in instrumental activities of daily living among Japanese community-dwelling older people,International Journal of Gerontology,14,4,265,270,2020-02,https://doi.org/10.6890/IJGE.202011_14(4).0003,,論文,学術雑誌,1,1,,1.016
39,臨床医学域,腎臓内科学,eng,"Nishida, Reimi; Kaneko, Shuzo; Usui, Joichi; Kawamura, Tetsuya; Tsunoda, Ryoya; Tawara, Takashi; Fujita, Akiko; Nagai, Kei; Kai, Hirayasu; Morito, Naoki; Saito, Chie; Yamagata, Kunihiro",Plasma exchange is highly effective for ANCA-associated vasculitis patients with rapidly progressive glomerulonephritis who have advanced to dialysis dependence: A single-center case series,Therapeutic apheresis and dialysis,23,3,253,260,2019-04,10.1111/1744-9987.12830,31033151,論文,学術雑誌,1,1,,1.041
52,臨床医学域,呼吸器外科学,eng,"Committee, for Scientific Affairs The Japanese Association for Thoracic Surgery; Shimizu, Hideyuki; Endo, Shunsuke; Natsugoe, Shoji; Doki, Yuichiro; Hirata, Yasutaka; Kobayashi, Junjiro; Motomura, Noboru; Nakano, Kiyoharu; Nishida, Hiroshi; Okada, Morihito; Saiki, Yoshikatsu; Saito, Aya; Sato, Yukio; Tanemoto, Kazuo; Toh, Yasushi; Tsukihara, Hiroyuki; Wakui, Shinji; Yokomise, Hiroyasu; Masuda, Munetaka; Yokoi, Kohei; Okita, Yutaka",Thoracic and cardiovascular surgery in Japan in 2016 : Annual report by The Japanese Association for Thoracic Surgery,General thoracic and cardiovascular surgery,67,4,377,411,2019-04,10.1007/s11748-019-01068-9,30877649,論文,学術雑誌,1,0,,1.088
57,臨床医学域,整形外科学,eng,"Kono, Mamoru;Koda, Masao;Abe, Tetsuya;Miura, Kousei;Nagashima, Katsuya;Fujii, Kengo;Kumagai, Hiroshi;Noguchi, Hiroshi;Funayama, Toru;Yamazaki, Masashi",Percutaneous endoscopic discectomy might be effective in selected cases of pyogenic spondylitis,Journal of orthopaedic surgery,27,3,,,2019-11,10.1177/2309499019885446,31714174,論文,学術雑誌,1,0,,1.095
57,臨床医学域,整形外科学,eng,"Kono, Mamoru;Koda, Masao;Abe, Tetsuya;Miura, Kousei;Nagashima, Katsuya;Fujii, Kengo;Kumagai, Hiroshi;Noguchi, Hiroshi;Funayama, Toru;Furuya, Takeo;Yamazaki, Masashi",Positive-pressure ventilation attenuates subarachnoid-pleural fistula after thoracic spinal surgery: A report of two cases,Journal of orthopaedic surgery,27,3,,,2019-08,10.1177/2309499019865470,31382818,論文,学術雑誌,1,0,,1.095
74,臨床医学域,救急・集中治療医学,eng,"Nishino, Tomofumi;Mishima, Hajime;Kawamura, Haruo;Yoshizawa, Tomohiro;Miyakawa, Shumpei;Yamazaki, Masashi",Ten-year results of 55 dysplasia hips of hip offset and leg length reconstruction in total hip arthroplasty with cementless tapered stems having a high offset option designed for dysplastic femur,JOURNAL OF ORTHOPAEDIC SURGERY,28,1,2309499020909499,,2020-01,10.1177/2309499020909499,32186225,論文,学術雑誌,1,1,,1.095
68,臨床医学域,画像診断・ＩＶＲ学,eng,"Mori, Kensaku;Saida, Tsukasa;Hoshiai, Sodai;Shibuya, Yoko;Obata-Yasuoka, Mana;Ishiguro, Toshitaka;Takahashi, Hiroaki;Hamada, Hiromi;Sato, Toyomi;Minami, Manabu",High prevalence of intrapelvic parasitic arteries in patients with placenta accreta spectrum: A case-control study using unenhanced magnetic resonance angiography,Clinical imaging,63,,50,56,2020-02,10.1016/j.clinimag.2020.02.013,32143124,論文,学術雑誌,1,1,,1.109
91,臨床医学域,茨城県小児地域医療教育ステーション,eng,"H, Horigome;Y, Ishikawa;N, Kokubun;M, Yoshinaga;N, Sumitomo;L, Lin;Y, Kato;Y, Tanabe-Kameda;S, Ohno;M, Nagashima;M, Horie",Multivariate analysis of TU wave complex on electrocardiogram in Andersen-Tawil syndrome with KCNJ2 mutations,ANNALS OF NONINVASIVE ELECTROCARDIOLOGY,25,3,e12721,(e-pub),2019-11,10.1111/anec.12721,31724784,論文,学術雑誌,1,1,,1.131
66,臨床医学域,小児科学,eng,"Takeuchi S, Arai J, Nagafuji M, Hinata A, Kamakura T, Hoshino Y, Yukitake Y. ",Ultrasonographic confirmation of endotracheal intubation in extremely low birthweigh infants - secondary publication. ,Pediatrics International,62,2,175,179,2020-02,10.1111/ped.14069,31785124,論文,学術雑誌,1,0,,1.139
59,臨床医学域,腎・泌尿器外科学,jpn,"Ikeda A, Ohno G, Otani S, Watanabe K, Imura S. ",Disease and injury statistics of Japanese Antarctic research expeditions during the wintering period: evaluation of 6837 cases in the 1st–56th parties – Antarctic health report in 1956–2016,International Journal of Circumpolar Health,78,1,1611327,,2019-04,doi/full/10.1080/22423982.2019,31038401,論文,学術雑誌,1,0,,1.217
57,臨床医学域,整形外科学,eng,"Kumagai, Hiroshi; Makihara, Takeshi; Funayama, Toru; Sato, Kosuke; Noguchi, Hiroshi; Abe, Tetsuya; Koda, Masao; Yamazaki, Masashi",Angiogenesis and new bone formation in novel unidirectional porous beta-tricalcium phosphate: a histological study,Journal of artificial organs,22,4,294,299,2019-07,10.1007/s10047-019-01120-8,31325063,論文,学術雑誌,1,0,,1.223
87,臨床医学域,茨城県地域臨床教育センター,eng,"Suzuki,Yasuyuki",Clampless aortic punch system for making a large-diameter access route without side-biting clamp: a preliminary study.,Journal of Artificial Organs,,,260,263,2019-09,10.1007/s10047-018-01088-x,30612213,論文,学術雑誌,1,0,,1.223
66,臨床医学域,小児科学,eng,"Inaba M, Nakao T, Hosaka S, Suzuki R, Fukushima H, Yamaki Y, Saito T, Sakashita S, Noguchi M, Minami M, Masumoto T, Mizumoto M, Sakurai H, Fukushima T, Takada H.",Urgent Proton Beam Therapy With Interinstitutional Transfer for Patients With Intracranial Rhabdomyosarcoma: Report of 3 Cases.,Pediatric Hematology and Oncology,42,1,e12,e17,2020-01,10.1097/MPH.0000000000001620,31688631,論文,学術雑誌,1,0,,1.232
57,臨床医学域,整形外科学,eng,"Sakai, Yusuke; Kaito, Takashi; Takenaka, Shota; Yamashita, Tomoya; Makino, Takahiro; Hosogane, Naobumi; Nojiri, Kenya; Suzuki, Satoshi; Okada, Eijiro; Watanabe, Kota; Funao, Haruki; Isogai, Norihiro; Ueda, Seiji; Hikata, Tomohiro; Shiono, Yuta; Watanabe, Kei; Katsumi, Keiichi; Fujiwara, Hiroyasu; Nagamoto, Yukitaka; Terai, Hidetomi; Tamai, Koji; Matsuoka, Yuji; Suzuki, Hidekazu; Nishimura, Hirosuke; Tagami, Atsushi; Yamada, Shuta; Adachi, Shinji; Ohtori, Seiji; Orita, Sumihisa; Furuya, Takeo; Yoshii, Toshitaka; Ushio, Shuta; Inoue, Gen; Miyagi, Masayuki; Saito, Wataru; Imagama, Shiro; Ando, Kei; Sakai, Daisuke; Nukaga, Tadashi; Kiyasu, Katsuhito; Kimura, Atsushi; Inoue, Hirokazu; Nakano, Atsushi; Harimaya, Katsumi; Doi, Toshio; Kawaguchi, Kenichi; Yokoyama, Nobuhiko; Oishi, Hidekazu; Ikegami, Shota; Futatsugi, Toshimasa; Shimizu, Masayuki; Kakutani, Kenichiro; Yurube, Takashi; Oshima, Masashi; Uei, Hiroshi; Aoki, Yasuchika; Takahata, Masahiko; Iwata, Akira; Seki, Shoji; Murakami, Hideki; Yoshioka, Katsuhito; Endo, Hirooki; Hongo, Michio; Nakanishi, Kazuyoshi; Abe, Tetsuya; Tsukanishi, Toshinori; Ishii, Ken",Complications after spinal fixation surgery for osteoporotic vertebral collapse with neurological deficits: Japan Association of Spine Surgeons with ambition multicenter study,Journal of orthopaedic science,24,6,985,990,2019-11,10.1016/j.jos.2019.08.015,31521452,論文,学術雑誌,1,0,,1.259
57,臨床医学域,整形外科学,eng,"Imagama, Shiro;Murakami, Hideki;Kaito, Takashi;Matsuyama, Yukihiro;Yamashita, Toshihiko;Kawakami, Mamoru;Takahashi, Kazuhisa;Yoshida, Munehito;Ohtori, Seiji;Taguchi, Toshihiko;Haro, Hirotaka;Taneichi, Hiroshi;Yamazaki, Masashi;Inoue, Gen;Nishida, Kotaro;Yamada, Hiroshi;Kabata, Daijiro;Shintani, Ayumi;Iwasaki, Motoki;Ito, Manabu;Miyakoshi, Naohisa;Yonenobu, Kazuo;Takura, Tomoyuki;Mochida, Joji",Impact of background factors on outcomes of pharmacological therapy for chronic low back pain: A nationwide multicenter prospective study,Journal of orthopaedic science,26,1,92,102,2020-02,10.1016/j.jos.2020.02.003,32122744,論文,学術雑誌,1,0,,1.259
57,臨床医学域,整形外科学,eng,"Asada T, Kotani T, Nakayama K, Sasaki T, Fujii K, Sunami T, Sakuma T, Iijima Y, Akazawa T, Minami S, Ohtori S, Koda M, Yamazaki M. ",Japanese adaptation of the Bad Sobernheim Stress Questionnaire-Brace for patients with adolescent idiopathic scoliosis. ,Journal of Orthopaedic Science,24,6,1010,1014,2019-11,10.1016/j.jos.2019.08.003,31515118,論文,学術雑誌,1,1,,1.259
57,臨床医学域,整形外科学,eng,"Kubota, Shigeki;Kadone, Hideki;Shimizu, Yukiyo;Abe, Tetsuya;Makihara, Takeshi;Kubo, Tadashi;Watanabe, Hiroki;Marushima, Aiki;Koda, Masao;Hada, Yasushi;Yamazaki, Masashi",Shoulder training using shoulder assistive robot in a patient with shoulder elevation dysfunction: A case report,Journal of orthopaedic science,Epub,,,,2020-01,10.1016/j.jos.2019.12.011,32008875,論文,学術雑誌,1,1,,1.259
57,臨床医学域,整形外科学,eng,"Watanabe, Kei; Katsumi, Keiichi; Ohashi, Masayuki; Shibuya, Yohei; Hirano, Toru; Endo, Naoto; Kaito, Takashi; Yamashita, Tomoya; Fujiwara, Hiroyasu; Nagamoto, Yukitaka; Matsuoka, Yuji; Suzuki, Hidekazu; Nishimura, Hirosuke; Terai, Hidetomi; Tamai, Koji; Tagami, Atsushi; Yamada, Syuta; Adachi, Shinji; Yoshii, Toshitaka; Ushio, Shuta; Harimaya, Katsumi; Kawaguchi, Kenichi; Yokoyama, Nobuhiko; Oishi, Hidekazu; Doi, Toshiro; Kimura, Atsushi; Inoue, Hirokazu; Inoue, Gen; Miyagi, Masayuki; Saito, Wataru; Nakano, Atsushi; Sakai, Daisuke; Nukaga, Tadashi; Ikegami, Shota; Shimizu, Masayuki; Futatsugi, Toshimasa; Ohtori, Seiji; Furuya, Takeo; Orita, Sumihisa; Imagama, Shiro; Ando, Kei; Kobayashi, Kazuyoshi; Kiyasu, Katsuhito; Murakami, Hideki; Yoshioka, Katsuhito; Seki, Shoji; Hongo, Michio; Kakutani, Kenichiro; Yurube, Takashi; Aoki, Yasuchika; Oshima, Masashi; Takahata, Masahiko; Iwata, Akira; Endo, Hirooki; Abe, Tetsuya; Tsukanishi, Toshinori; Nakanishi, Kazuyoshi; Watanabe, Kota; Hikata, Tomohiro; Suzuki, Satoshi; Isogai, Norihiro; Okada, Eijiro; Funao, Haruki; Ueda, Seiji; Shiono, Yuta; Nojiri, Kenya; Hosogane, Naobumi; Ishii, Ken",Surgical outcomes of spinal fusion for osteoporotic vertebral fracture in the thoracolumbar spine: Comprehensive evaluations of 5 typical surgical fusion techniques,Journal of orthopaedic science,24,6,1020,1026,2019-08,10.1016/j.jos.2019.07.018,31445858,論文,学術雑誌,1,0,,1.259
57,臨床医学域,整形外科学,eng,"Mori K, Yoshii T, Hirai T, Nagoshi N, Takeuchi K, Ushio S, Iwanami A, Yamada T, Seki S, Tsuji T, Fujiyoshi K, Furukawa M, Nishimura S, Wada K, Furuya T, Matsuyama Y, Hasegawa T, Takeshita K, Kimura A, Abematsu M, Haro H, Ohba T, Watanabe M, Katoh H, Watanabe K, Ozawa H, Kanno H, Imagama S, Ando K, Fujibayashi S, Koda M, Yamazaki M, Matsumoto M, Nakamura M, Okawa A, Kawaguchi Y. ",The characteristics of the patients with radiologically severe cervical ossification of the posterior longitudinal ligament of the spine: A CT-based multicenter cross-sectional study. ,Journal of Orthopaedic Science,25,5,746,750,2020-09,10.1016/j.jos.2019.09.018,31672380,論文,学術雑誌,1,0,,1.259
44,臨床医学域,循環器内科学,eng,"Cronin, Edmond M; Bogun, Frank M; Maury, Philippe; Peichl, Petr; Chen, Minglong; Namboodiri, Narayanan; Aguinaga, Luis; Leite, Luiz Roberto; Al-Khatib, Sana M; Anter, Elad; Berruezo, Antonio; Callans, David J; Chung, Mina K; Cuculich, Phillip; d'Avila, Andre; Deal, Barbara J; Bella, Paolo Della; Deneke, Thomas; Dickfeld, Timm-Michael; Hadid, Claudio; Haqqani, Haris M; Kay, G Neal; Latchamsetty, Rakesh; Marchlinski, Francis; Miller, John M; Nogami, Akihiko; Patel, Akash R; Pathak, Rajeev Kumar; Saenz Morales, Luis C; Santangeli, Pasquale; Sapp, John L; Sarkozy, Andrea; Soejima, Kyoko; Stevenson, William G; Tedrow, Usha B; Tzou, Wendy S; Varma, Niraj; Zeppenfeld, Katja",2019 HRS/EHRA/APHRS/LAHRS expert consensus statement on catheter ablation of ventricular arrhythmias,Journal of interventional cardiac electrophysiology,59,1,145,298,2020-10,10.1007/s10840-019-00663-3,31984466,論文,学術雑誌,1,0,,1.277
